0=0.0
1=31.442663378545006
2=13.810110974106042
3=12.700369913686806
4=11.035758323057953
5=9.001233045622689
6=6.781750924784217
7=5.6720098643649814
8=4.254007398273736
9=5.178791615289765
1=31.0
2=14.0
3=13.0
4=11.0
5=9.0
6=7.0
7=6.0
8=4.0
9=5.0
1=31.0
2=14.0
3=13.0
4=11.0
5=9.0
6=7.0
7=6.0
8=4.0
9=5.0
1=31.0
2=14.0
3=13.0
4=11.0
5=9.0
6=7.0
7=6.0
8=4.0
9=5.0
1=31.0
2=14.0
3=13.0
4=11.0
5=9.0
6=7.0
7=6.0
8=4.0
9=5.0
